id,name,district,state,registered_on,is_active
1,Basavaraj Patil,Solapur,Maharashtra,2024-05-08,TRUE
2,Basavaraj Hiremath,Sangli,Maharashtra,2023-07-02,FALSE
3,Lakshman Patil,Gulbarga,Karnataka,2023-04-23,TRUE
4,Chandru Angadi,Tumkur,Karnataka,2022-10-09,TRUE
5,Parvati Desai,Belgaum,Karnataka,2024-07-11,TRUE
6,Parvati Mane,Gulbarga,Karnataka,2019-02-13,FALSE
7,Mallikarjun Biradar,Bellary,Karnataka,2025-01-24,TRUE
8,Yallappa Hiremath,Dharwad,Karnataka,2023-05-27,TRUE
9,Sharanappa Shetty,Bellary,Karnataka,2024-02-02,TRUE
10,Mahadev Angadi,Raichur,Karnataka,2025-02-13,TRUE
11,Lakshmi Kamble,Solapur,Maharashtra,2020-06-12,TRUE
12,Renuka Hiremath,Raichur,Karnataka,2023-11-06,TRUE
13,Ningappa Badiger,Gulbarga,Karnataka,2022-05-21,TRUE
14,Savitri Mane,Gulbarga,Karnataka,2025-01-08,TRUE
15,Yallappa Biradar,Bellary,Karnataka,2019-04-19,TRUE
16,Vittal Talwar,Bellary,Karnataka,2022-11-15,TRUE
17,Lakshman Biradar,Bijapur,Karnataka,2024-10-14,TRUE
18,Siddappa Angadi,Mysore,Karnataka,2020-09-16,FALSE
19,Sunanda Gowda,Belgaum,Karnataka,2020-11-06,TRUE
20,Mallikarjun Hiremath,Mysore,Karnataka,2022-07-20,TRUE
21,Ganesh Patil,Tumkur,Karnataka,2024-12-04,TRUE
22,Parvati Biradar,Tumkur,Karnataka,2025-11-11,FALSE
23,Ningappa Badiger,Mysore,Karnataka,2019-12-24,TRUE
24,Parvati Desai,Tumkur,Karnataka,2023-02-28,TRUE
25,Hanumanth Shetty,Solapur,Maharashtra,2020-06-25,TRUE
26,Ramesh Mane,Tumkur,Karnataka,2022-01-04,TRUE
27,Lakshman Kulkarni,Raichur,Karnataka,2020-10-03,FALSE
28,Lakshmi Hiremath,Mandya,Karnataka,2025-09-25,TRUE
29,Nagaraj Desai,Solapur,Maharashtra,2021-09-28,TRUE
30,Devendra Shetty,Gulbarga,Karnataka,2024-05-13,TRUE
31,Siddappa Badiger,Solapur,Maharashtra,2023-08-04,TRUE
32,Manjunath Patil,Dharwad,Karnataka,2023-09-08,TRUE
33,Mahadev Kulkarni,Belgaum,Karnataka,2020-02-02,TRUE
34,Hanumanth Angadi,Dharwad,Karnataka,2021-11-16,TRUE
35,Geeta Talwar,Bijapur,Karnataka,2020-08-26,TRUE
36,Basavaraj Hosamani,Dharwad,Karnataka,2021-07-14,TRUE
37,Suresh Gowda,Sangli,Maharashtra,2019-07-24,TRUE
38,Lakshman Shetty,Dharwad,Karnataka,2020-09-15,TRUE
39,Ganesh Badiger,Bijapur,Karnataka,2020-02-15,TRUE
40,Basavaraj Kulkarni,Tumkur,Karnataka,2024-09-27,FALSE
41,Parvati Angadi,Dharwad,Karnataka,2020-07-16,TRUE
42,Suresh Desai,Mysore,Karnataka,2022-01-13,TRUE
43,Prakash Hosamani,Mandya,Karnataka,2024-12-26,TRUE
44,Nagaraj Naik,Sangli,Maharashtra,2020-05-07,TRUE
45,Geeta Kulkarni,Hassan,Karnataka,2024-06-02,FALSE
46,Hanumanth Desai,Mandya,Karnataka,2019-09-03,TRUE
47,Mallikarjun Hiremath,Dharwad,Karnataka,2024-04-13,FALSE
48,Lakshman Kulkarni,Hassan,Karnataka,2023-02-14,TRUE
49,Hanumanth Mane,Hassan,Karnataka,2021-04-22,TRUE
50,Ganesh Jadhav,Gulbarga,Karnataka,2020-11-21,TRUE
51,Parvati Hiremath,Bellary,Karnataka,2019-08-20,TRUE
52,Mahadev Shetty,Dharwad,Karnataka,2023-05-05,TRUE
53,Lakshman Kamble,Dharwad,Karnataka,2021-03-15,TRUE
54,Prakash Patil,Sangli,Maharashtra,2024-09-10,TRUE
55,Shivanand Biradar,Dharwad,Karnataka,2019-02-24,TRUE
56,Prakash Shetty,Raichur,Karnataka,2024-06-07,TRUE
57,Hanumanth Talwar,Raichur,Karnataka,2021-01-03,TRUE
58,Suresh Patil,Raichur,Karnataka,2021-03-21,TRUE
59,Geeta Badiger,Bijapur,Karnataka,2023-12-14,TRUE
60,Mahadev Naik,Dharwad,Karnataka,2023-01-27,TRUE
61,Shivanand Hosamani,Tumkur,Karnataka,2020-01-10,TRUE
62,Siddappa Shetty,Belgaum,Karnataka,2024-04-22,FALSE
63,Sunanda Hosamani,Tumkur,Karnataka,2023-12-05,TRUE
64,Sunanda Desai,Gulbarga,Karnataka,2025-03-14,FALSE
65,Manjunath Hosamani,Sangli,Maharashtra,2025-11-28,TRUE
66,Ganesh Desai,Gulbarga,Karnataka,2025-12-04,TRUE
67,Sunanda Talwar,Belgaum,Karnataka,2020-04-27,TRUE
68,Prakash Angadi,Bellary,Karnataka,2020-01-22,TRUE
69,Ganesh Hiremath,Bellary,Karnataka,2025-05-12,TRUE
70,Savitri Mane,Mysore,Karnataka,2019-02-09,TRUE
71,Suresh Gowda,Raichur,Karnataka,2023-07-12,TRUE
72,Chandru Gowda,Bellary,Karnataka,2022-10-07,TRUE
73,Chandru Patil,Sangli,Maharashtra,2023-09-22,TRUE
74,Geeta Shetty,Sangli,Maharashtra,2021-07-03,TRUE
75,Mallikarjun Mane,Bellary,Karnataka,2024-02-24,TRUE
76,Prakash Hosamani,Tumkur,Karnataka,2021-07-23,TRUE
77,Vittal Hosamani,Bijapur,Karnataka,2024-07-22,TRUE
78,Mallikarjun Chougule,Bijapur,Karnataka,2022-09-27,FALSE
79,Vittal Hosamani,Raichur,Karnataka,2025-10-20,TRUE
80,Gurappa Badiger,Mandya,Karnataka,2024-04-17,TRUE
81,Ningappa Hiremath,Sangli,Maharashtra,2021-09-22,TRUE
82,Mahadev Angadi,Bellary,Karnataka,2024-05-08,TRUE
83,Ramesh Kulkarni,Bijapur,Karnataka,2020-08-20,TRUE
84,Gurappa Hosamani,Dharwad,Karnataka,2024-10-07,TRUE
85,Nagaraj Jadhav,Mysore,Karnataka,2020-03-21,TRUE
86,Parvati Hosamani,Dharwad,Karnataka,2020-03-26,TRUE
87,Gurappa Kulkarni,Tumkur,Karnataka,2023-04-28,TRUE
88,Shobha Badiger,Bijapur,Karnataka,2024-09-18,TRUE
89,Mallikarjun Hosamani,Mandya,Karnataka,2025-09-15,TRUE
90,Sunanda Talwar,Sangli,Maharashtra,2022-05-25,TRUE
91,Ganesh Talwar,Solapur,Maharashtra,2024-04-09,TRUE
92,Prakash Angadi,Sangli,Maharashtra,2021-06-11,TRUE
93,Shivanand Naik,Dharwad,Karnataka,2020-07-23,TRUE
94,Mahadev Hosamani,Gulbarga,Karnataka,2022-06-18,TRUE
95,Vittal Hosamani,Belgaum,Karnataka,2022-10-23,FALSE
96,Yallappa Talwar,Hassan,Karnataka,2019-06-10,TRUE
97,Devendra Angadi,Mysore,Karnataka,2022-04-09,TRUE
98,Yallappa Mane,Belgaum,Karnataka,2024-11-26,TRUE
99,Lakshmi Badiger,Bijapur,Karnataka,2020-10-18,FALSE
100,Sharanappa Patil,Mysore,Karnataka,2019-11-14,TRUE
101,Ningappa Kulkarni,Mandya,Karnataka,2021-07-11,TRUE
102,Manjunath Jadhav,Bellary,Karnataka,2021-07-09,TRUE
103,Ramesh Kulkarni,Mandya,Karnataka,2021-04-21,FALSE
104,Suresh Patil,Solapur,Maharashtra,2020-04-27,FALSE
105,Lakshman Naik,Bijapur,Karnataka,2022-11-04,TRUE
106,Gurappa Biradar,Gulbarga,Karnataka,2025-06-06,TRUE
107,Renuka Gowda,Sangli,Maharashtra,2025-03-10,FALSE
108,Prakash Jadhav,Belgaum,Karnataka,2022-12-07,FALSE
109,Lakshmi Angadi,Sangli,Maharashtra,2019-12-25,TRUE
110,Mallikarjun Gowda,Solapur,Maharashtra,2025-10-26,FALSE
111,Chandru Kamble,Tumkur,Karnataka,2019-09-21,TRUE
112,Lakshmi Talwar,Mysore,Karnataka,2019-07-12,TRUE
113,Renuka Naik,Mandya,Karnataka,2022-03-24,TRUE
114,Ganesh Talwar,Solapur,Maharashtra,2022-07-27,TRUE
115,Manjunath Angadi,Raichur,Karnataka,2025-02-09,TRUE
116,Parvati Badiger,Gulbarga,Karnataka,2023-10-22,TRUE
117,Nagaraj Mane,Belgaum,Karnataka,2020-08-07,TRUE
118,Manjunath Biradar,Raichur,Karnataka,2023-12-09,TRUE
119,Vittal Hiremath,Tumkur,Karnataka,2020-12-14,TRUE
120,Renuka Talwar,Gulbarga,Karnataka,2024-12-16,TRUE
121,Mahadev Chougule,Belgaum,Karnataka,2020-07-23,TRUE
122,Sharanappa Kamble,Solapur,Maharashtra,2022-09-17,TRUE
123,Devendra Mane,Sangli,Maharashtra,2021-12-15,TRUE
124,Lakshman Gowda,Raichur,Karnataka,2024-04-11,FALSE
125,Parvati Desai,Tumkur,Karnataka,2020-04-24,TRUE
126,Sharanappa Chougule,Sangli,Maharashtra,2019-04-10,TRUE
127,Prakash Patil,Bijapur,Karnataka,2024-09-05,TRUE
128,Devendra Chougule,Belgaum,Karnataka,2024-03-21,TRUE
129,Basavaraj Patil,Mandya,Karnataka,2023-05-16,TRUE
130,Ningappa Kulkarni,Bellary,Karnataka,2021-08-04,TRUE
131,Nagaraj Hiremath,Mysore,Karnataka,2023-11-22,FALSE
132,Shobha Chougule,Bijapur,Karnataka,2019-04-04,TRUE
133,Mallikarjun Angadi,Mysore,Karnataka,2025-09-13,TRUE
134,Prakash Hosamani,Mandya,Karnataka,2021-10-20,FALSE
135,Basavaraj Shetty,Sangli,Maharashtra,2024-04-09,TRUE
136,Lakshman Desai,Bijapur,Karnataka,2023-02-06,FALSE
137,Renuka Talwar,Mandya,Karnataka,2021-01-08,TRUE
138,Renuka Badiger,Raichur,Karnataka,2019-11-08,TRUE
139,Sharanappa Shetty,Solapur,Maharashtra,2022-02-18,TRUE
140,Ganesh Naik,Bijapur,Karnataka,2019-01-06,TRUE
141,Geeta Chougule,Hassan,Karnataka,2022-02-15,TRUE
142,Yallappa Biradar,Sangli,Maharashtra,2023-09-16,TRUE
143,Suresh Hosamani,Hassan,Karnataka,2024-06-20,TRUE
144,Lakshman Patil,Dharwad,Karnataka,2025-11-27,TRUE
145,Parvati Desai,Belgaum,Karnataka,2022-09-21,TRUE
146,Ningappa Hosamani,Raichur,Karnataka,2024-08-03,TRUE
147,Manjunath Mane,Mysore,Karnataka,2024-02-28,TRUE
148,Renuka Talwar,Mysore,Karnataka,2021-11-13,TRUE
149,Suresh Badiger,Tumkur,Karnataka,2019-06-09,TRUE
150,Sunanda Patil,Mysore,Karnataka,2024-09-15,TRUE
151,Hanumanth Kamble,Gulbarga,Karnataka,2023-08-21,TRUE
152,Vittal Biradar,Belgaum,Karnataka,2023-03-10,TRUE
153,Nagaraj Gowda,Sangli,Maharashtra,2019-11-20,TRUE
154,Ningappa Chougule,Sangli,Maharashtra,2023-01-18,TRUE
155,Lakshmi Gowda,Gulbarga,Karnataka,2022-02-21,TRUE
156,Renuka Chougule,Mandya,Karnataka,2023-12-09,TRUE
157,Nagaraj Angadi,Mandya,Karnataka,2022-09-05,TRUE
158,Hanumanth Naik,Hassan,Karnataka,2025-02-09,TRUE
159,Manjunath Biradar,Mysore,Karnataka,2025-01-10,TRUE
160,Sharanappa Talwar,Hassan,Karnataka,2025-03-15,TRUE
161,Manjunath Jadhav,Bellary,Karnataka,2022-06-28,TRUE
162,Lakshman Jadhav,Sangli,Maharashtra,2020-07-02,TRUE
163,Renuka Jadhav,Mandya,Karnataka,2022-11-26,TRUE
164,Nagaraj Kulkarni,Bijapur,Karnataka,2020-09-19,TRUE
165,Sunanda Badiger,Dharwad,Karnataka,2019-09-15,FALSE
166,Chandru Naik,Bijapur,Karnataka,2019-08-26,TRUE
167,Mallikarjun Jadhav,Bellary,Karnataka,2024-02-28,TRUE
168,Sunanda Jadhav,Solapur,Maharashtra,2021-11-23,TRUE
169,Sunanda Kulkarni,Mandya,Karnataka,2023-02-08,TRUE
170,Lakshman Hiremath,Raichur,Karnataka,2022-02-25,TRUE
171,Gurappa Desai,Dharwad,Karnataka,2024-05-01,FALSE
172,Prakash Kamble,Belgaum,Karnataka,2021-07-05,TRUE
173,Sharanappa Desai,Mysore,Karnataka,2020-03-03,TRUE
174,Mallikarjun Angadi,Mysore,Karnataka,2022-10-05,TRUE
175,Ganesh Badiger,Solapur,Maharashtra,2021-11-01,TRUE
176,Prakash Desai,Mandya,Karnataka,2019-08-12,TRUE
177,Kavita Hosamani,Raichur,Karnataka,2024-05-15,TRUE
178,Yallappa Talwar,Gulbarga,Karnataka,2019-04-13,TRUE
179,Prakash Chougule,Hassan,Karnataka,2019-11-13,TRUE
180,Sunanda Kulkarni,Hassan,Karnataka,2023-12-16,TRUE
181,Parvati Angadi,Raichur,Karnataka,2023-06-08,TRUE
182,Ganesh Naik,Hassan,Karnataka,2024-02-21,TRUE
183,Shobha Badiger,Raichur,Karnataka,2019-10-12,TRUE
184,Prakash Mane,Dharwad,Karnataka,2024-07-06,TRUE
185,Siddappa Biradar,Tumkur,Karnataka,2025-03-09,TRUE
186,Shobha Chougule,Mandya,Karnataka,2024-06-26,FALSE
187,Shivanand Angadi,Dharwad,Karnataka,2025-11-24,TRUE
188,Sunanda Kamble,Mysore,Karnataka,2019-07-01,TRUE
189,Gurappa Kamble,Dharwad,Karnataka,2024-12-22,TRUE
190,Lakshmi Kamble,Mysore,Karnataka,2019-11-08,TRUE
191,Devendra Mane,Hassan,Karnataka,2023-04-21,FALSE
192,Renuka Chougule,Mandya,Karnataka,2024-07-04,TRUE
193,Prakash Talwar,Belgaum,Karnataka,2019-02-08,TRUE
194,Yallappa Badiger,Bijapur,Karnataka,2021-11-24,TRUE
195,Chandru Naik,Tumkur,Karnataka,2022-11-04,TRUE
196,Chandru Biradar,Hassan,Karnataka,2019-12-12,TRUE
197,Lakshman Kamble,Mandya,Karnataka,2019-11-12,TRUE
198,Siddappa Kulkarni,Solapur,Maharashtra,2022-05-07,TRUE
199,Mahadev Shetty,Mandya,Karnataka,2024-11-20,TRUE
200,Shobha Mane,Belgaum,Karnataka,2020-03-26,TRUE
201,Lakshmi Shetty,Dharwad,Karnataka,2023-04-27,TRUE
202,Parvati Naik,Bellary,Karnataka,2025-10-01,TRUE
203,Shivanand Biradar,Bijapur,Karnataka,2025-03-04,TRUE
204,Shivanand Patil,Belgaum,Karnataka,2021-04-19,TRUE
205,Ganesh Kulkarni,Bijapur,Karnataka,2020-12-14,TRUE
206,Mahadev Talwar,Sangli,Maharashtra,2022-06-17,TRUE
207,Hanumanth Angadi,Mandya,Karnataka,2023-01-24,TRUE
208,Hanumanth Chougule,Solapur,Maharashtra,2022-11-01,FALSE
209,Sunanda Jadhav,Mandya,Karnataka,2022-11-04,TRUE
210,Mahadev Hiremath,Mandya,Karnataka,2021-10-05,FALSE
211,Mallikarjun Mane,Raichur,Karnataka,2022-10-17,TRUE
212,Mallikarjun Hosamani,Tumkur,Karnataka,2019-12-04,TRUE
213,Parvati Shetty,Solapur,Maharashtra,2022-08-08,TRUE
214,Yallappa Hosamani,Mandya,Karnataka,2024-02-11,TRUE
215,Ganesh Kamble,Solapur,Maharashtra,2020-11-16,FALSE
216,Mahadev Hosamani,Dharwad,Karnataka,2019-12-24,TRUE
217,Devendra Kulkarni,Bijapur,Karnataka,2023-09-18,TRUE
218,Chandru Kamble,Dharwad,Karnataka,2025-11-25,TRUE
219,Suresh Chougule,Sangli,Maharashtra,2023-05-12,FALSE
220,Vittal Naik,Tumkur,Karnataka,2024-08-08,TRUE
221,Sunanda Kamble,Bellary,Karnataka,2019-05-19,TRUE
222,Sunanda Patil,Mysore,Karnataka,2023-11-27,TRUE
223,Ningappa Biradar,Belgaum,Karnataka,2024-05-11,TRUE
224,Sunanda Naik,Bijapur,Karnataka,2023-11-13,FALSE
225,Kavita Patil,Sangli,Maharashtra,2019-12-17,TRUE
226,Gurappa Mane,Mysore,Karnataka,2020-06-10,TRUE
227,Mallikarjun Hiremath,Hassan,Karnataka,2019-03-06,TRUE
228,Savitri Hiremath,Belgaum,Karnataka,2021-08-22,TRUE
229,Gurappa Hosamani,Hassan,Karnataka,2021-04-25,TRUE
230,Chandru Gowda,Bellary,Karnataka,2021-11-22,TRUE
231,Savitri Chougule,Tumkur,Karnataka,2019-04-13,TRUE
232,Ramesh Shetty,Belgaum,Karnataka,2021-04-25,TRUE
233,Prakash Mane,Raichur,Karnataka,2019-01-16,TRUE
234,Shivanand Jadhav,Bijapur,Karnataka,2023-12-08,TRUE
235,Shobha Kamble,Solapur,Maharashtra,2019-07-28,TRUE
236,Ramesh Badiger,Mysore,Karnataka,2019-06-19,TRUE
237,Renuka Hosamani,Mysore,Karnataka,2021-02-13,FALSE
238,Ningappa Badiger,Bellary,Karnataka,2025-12-12,FALSE
239,Lakshman Hosamani,Dharwad,Karnataka,2023-07-17,FALSE
240,Geeta Mane,Raichur,Karnataka,2020-06-25,TRUE
241,Kavita Gowda,Tumkur,Karnataka,2023-09-07,TRUE
242,Siddappa Naik,Bellary,Karnataka,2020-02-05,TRUE
243,Mallikarjun Naik,Bijapur,Karnataka,2025-11-03,TRUE
244,Nagaraj Badiger,Solapur,Maharashtra,2025-10-25,TRUE
245,Sharanappa Mane,Solapur,Maharashtra,2025-11-11,TRUE
246,Nagaraj Badiger,Dharwad,Karnataka,2024-05-26,TRUE
247,Siddappa Hiremath,Belgaum,Karnataka,2021-08-15,FALSE
248,Lakshmi Chougule,Bellary,Karnataka,2019-11-28,TRUE
249,Mallikarjun Jadhav,Dharwad,Karnataka,2022-10-18,TRUE
250,Suresh Badiger,Sangli,Maharashtra,2025-10-21,TRUE
251,Nagaraj Naik,Hassan,Karnataka,2019-08-04,TRUE
252,Renuka Hiremath,Bellary,Karnataka,2023-11-06,FALSE
253,Gurappa Badiger,Sangli,Maharashtra,2023-09-20,TRUE
254,Prakash Jadhav,Bellary,Karnataka,2022-06-22,TRUE
255,Kavita Mane,Solapur,Maharashtra,2019-06-04,TRUE
256,Prakash Biradar,Mysore,Karnataka,2024-11-20,TRUE
257,Mahadev Naik,Bellary,Karnataka,2021-05-21,TRUE
258,Shivanand Hiremath,Mysore,Karnataka,2021-09-13,TRUE
259,Lakshmi Naik,Bellary,Karnataka,2024-12-27,TRUE
260,Hanumanth Hiremath,Solapur,Maharashtra,2024-11-14,TRUE
261,Siddappa Chougule,Belgaum,Karnataka,2020-04-11,TRUE
262,Vittal Angadi,Mandya,Karnataka,2020-03-03,TRUE
263,Hanumanth Kulkarni,Dharwad,Karnataka,2024-06-25,TRUE
264,Yallappa Naik,Hassan,Karnataka,2020-03-27,TRUE
265,Shobha Desai,Hassan,Karnataka,2024-08-02,TRUE
266,Geeta Angadi,Solapur,Maharashtra,2022-10-10,TRUE
267,Lakshman Angadi,Mandya,Karnataka,2021-08-27,TRUE
268,Sharanappa Badiger,Solapur,Maharashtra,2022-05-25,TRUE
269,Chandru Desai,Tumkur,Karnataka,2025-04-26,TRUE
270,Suresh Talwar,Raichur,Karnataka,2025-06-18,TRUE
271,Sunanda Gowda,Sangli,Maharashtra,2021-02-25,TRUE
272,Hanumanth Naik,Mandya,Karnataka,2025-07-03,TRUE
273,Lakshmi Badiger,Gulbarga,Karnataka,2021-01-14,FALSE
274,Siddappa Angadi,Tumkur,Karnataka,2022-02-12,TRUE
275,Basavaraj Mane,Bellary,Karnataka,2025-03-05,FALSE
276,Renuka Naik,Mandya,Karnataka,2025-12-16,TRUE
277,Mahadev Patil,Belgaum,Karnataka,2021-04-27,TRUE
278,Mallikarjun Hosamani,Sangli,Maharashtra,2019-05-08,TRUE
279,Lakshman Hosamani,Belgaum,Karnataka,2024-10-15,FALSE
280,Mallikarjun Patil,Mandya,Karnataka,2024-09-19,TRUE
